4호선,창동,2142,60,18248,3345,39485,13282,104998,21088,90588,42956,59498,39475,47605,33694,45275,32858,47131,37418,45884,44592,41654,47252,42525,49323,48176,58265,51891,68723,54161,103029,33806,98003,26535,63335,28347,54837,21069,51783,10520,37374,1640,13831,0,111,0,0,0,0
과천선,경마공원,1,9,321,489,887,2863,2123,4837,3200,12334,2530,17792,2820,21239,3115,20274,3662,29680,4002,37266,4957,24251,8363,14737,13692,9592,25888,7632,48644,5699,17727,3436,20725,1854,44228,1451,4369,1340,751,846,55,358,1,2,0,0,0,0
공항철도 1호선,운서,88,0,9514,686,11663,7234,20300,10201,17912,15303,11922,10567,12003,6249,14331,7001,14858,7657,11606,8856,10913,9194,10781,12572,13356,12933,16838,15310,15328,22543,8948,19309,8587,15859,8398,17861,6709,18346,3182,14184,419,5993,0,0,0,0,0,0
공항철도 1호선,홍대입구,227,13,5672,552,6585,3164,10997,8167,15389,22014,14962,20614,16604,16996,17603,19309,17353,25817,17728,24772,18502,24936,20950,24736,24746,25990,29839,31084,36001,40077,29937,32002,27469,19362,32969,16204,35461,14879,18142,12311,1865,4038,0,0,0,0,0,0
5호선,거여,0,0,4736,711,10835,5917,33522,7386,30544,16366,17455,9111,12771,6530,11625,6218,12576,7616,11809,9438,10845,8775,10993,10647,13092,14970,14944,15668,15026,23604,7571,23280,5198,14150,4747,12372,3285,13404,1216,7909,181,3031,0,0,0,0,0,0
분당선,선정릉,8,0,1055,782,2120,4121,4859,11519,8294,53273,7103,43470,6320,17113,7875,12149,10652,10117,10856,10874,10851,9776,11490,9258,14041,8753,20544,10401,45923,12441,25581,8636,12903,5106,11506,4720,9211,4411,3444,3062,118,689,0,0,0,0,0,0
공항철도 1호선,계양,13,0,9825,824,23006,3311,63596,4177,53411,6359,28021,5865,20202,4516,18510,5795,17652,6521,14280,8285,12012,10260,11475,12856,11751,16968,12481,23583,10927,42803,7060,45442,5008,29677,4117,25276,2967,28895,1531,17639,314,4986,0,0,0,0,0,0
과천선,정부과천청사,7,0,1654,2286,5481,13269,17132,24223,16739,70215,14514,28971,15045,19330,14873,17587,15702,13211,20932,14192,25111,13995,22448,12646,25282,13674,33529,17047,57776,24998,17479,21077,13940,11359,16412,10021,12735,9134,3611,5952,392,1725,0,4,0,0,0,0
경원선,응봉,156,0,1350,294,3198,1177,7360,1737,8086,2221,5069,1350,3393,1335,3193,1377,2803,1742,2700,2093,2351,2195,2387,2797,2716,3512,2992,4188,3051,5710,1912,5627,1524,3291,1303,3150,970,2610,403,1943,31,631,0,0,0,0,0,0
경부선,서동탄,3,0,1460,5,4404,702,11680,1542,5164,2512,3120,1054,2701,994,2633,1436,2461,1605,2321,1715,2096,2035,2203,2103,2533,2715,2969,3765,3143,5110,1878,6829,1110,3442,1036,2850,610,2482,124,2715,1,1209,0,0,0,0,0,0
6호선,이태원,1,0,16994,1250,13831,7442,14194,12157,18359,31351,15407,25372,14156,20259,15584,21568,18832,26231,20126,27950,23192,27018,25572,29638,28809,35021,33814,46135,41585,62113,34967,57487,33654,39264,40004,34220,47060,31177,33390,28697,5041,11360,0,0,0,0,0,0
경원선,한남,197,0,2359,902,3207,5742,5483,9963,7108,15189,5966,12434,5487,6881,5946,6008,6321,5745,6052,6843,6605,5424,8155,5889,10006,6694,14095,8112,17053,9547,9346,7235,6703,4569,5841,4528,5161,3298,2549,2239,138,840,0,0,0,0,0,0
9호선2~3단계,올림픽공원(한국체대),10,1,1274,408,5692,4613,13404,5060,14623,15661,10314,8729,7682,8590,8048,9439,9319,11014,9554,13961,8993,15927,9937,18101,11789,22615,14521,26410,17623,25226,11641,18006,16402,10767,37416,9466,22443,10887,11560,6334,788,2084,0,7,0,0,0,0
9호선2~3단계,둔촌오륜,1,0,211,117,688,951,2726,3082,3204,1693,1906,1031,1279,817,1362,927,1309,816,1750,1134,1688,1163,2197,1141,3534,1377,1992,1639,2131,2841,979,2254,561,1480,641,1369,491,1632,211,890,51,213,0,2,0,0,0,0
경부선,당정,38,0,4023,1235,10815,3599,27376,9279,23834,16369,13108,7176,10150,5187,9207,5193,10070,5972,9395,6508,8053,6538,8818,7796,9175,9726,12807,12101,16199,20341,7937,20061,5843,14102,4905,13382,3733,13131,1726,9167,105,1854,0,0,0,0,0,0
경부선,송탄,143,2,6125,924,8045,4043,12717,5452,11802,8221,10851,4957,9347,4085,9338,4808,9326,5617,8758,6504,7671,6369,8009,8354,10000,9673,10481,12094,10392,14770,7187,11979,5306,13425,4485,10718,2618,7372,1290,8822,40,962,0,0,0,0,0,0
5호선,광나루(장신대),8,0,5188,2053,15821,8867,41478,14419,50622,33974,29604,20028,20781,15706,21305,13636,21070,15923,21353,16399,19431,16604,20590,18113,23649,21955,25891,27252,34232,41659,17620,34751,13776,21098,15509,19683,13193,19570,4092,11814,530,2919,0,0,0,0,0,0
